Date,Day,Meal_Type,Dish_Name,Servings,Student_Count,Event_Flag,Vacation_Flag,Total_Eaters
2022-01-02,Sunday,Dinner,Bhindi Masala,823,2888,0,0,1919
2022-01-02,Sunday,Dinner,Baingan Bharta,965,2888,0,0,1919
2022-01-02,Sunday,Dinner,Mushroom Matar,180,2888,0,0,1919
2022-01-02,Sunday,Dinner,Keerai Koottu,271,2888,0,0,1919
2022-01-02,Sunday,Dinner,Lauki ke Kofte,984,2888,0,0,1919
2022-01-03,Monday,Breakfast,Bora Sawul,1397,2914,0,0,1930
2022-01-03,Monday,Breakfast,Chole Bhature,1190,2914,0,0,1930
2022-01-03,Monday,Breakfast,Paratha,351,2914,0,0,1930
2022-01-03,Monday,Breakfast,Neer Dosa,401,2914,0,0,1930
2022-01-03,Monday,Breakfast,Set Dosa,328,2914,0,0,1930
2022-01-03,Monday,Lunch,Gatte ki Sabzi,825,2914,0,0,2663
2022-01-03,Monday,Lunch,Shukto,276,2914,0,0,2663
2022-01-03,Monday,Lunch,Mag Dhokli,423,2914,0,0,2663
2022-01-03,Monday,Lunch,Lobiya,449,2914,0,0,2663
2022-01-03,Monday,Lunch,Kadhi Pakoda,612,2914,0,0,2663
2022-01-03,Monday,Lunch,Rasam,292,2914,0,0,2663
2022-01-03,Monday,Lunch,Aloo Phalliyaan,3160,2914,0,0,2663
2022-01-03,Monday,Lunch,Dum Aloo,862,2914,0,0,2663
2022-01-03,Monday,Snacks,Muthiya,681,2914,0,0,1942
2022-01-03,Monday,Snacks,Chaat,2572,2914,0,0,1942
2022-01-03,Monday,Dinner,Veg Kolhapuri,200,2914,0,0,1854
2022-01-03,Monday,Dinner,Kheer,300,2914,0,0,1854
2022-01-03,Monday,Dinner,Aloo Phalliyaan,1596,2914,0,0,1854
2022-01-03,Monday,Dinner,Chapati,755,2914,0,0,1854
2022-01-03,Monday,Dinner,Lauki ke Kofte,1095,2914,0,0,1854
2022-01-03,Monday,Dinner,Mishti Chholar Dal,236,2914,0,0,1854
2022-01-03,Monday,Dinner,Khichdi,965,2914,0,0,1854
2022-01-04,Tuesday,Breakfast,Poha,204,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Oondees,208,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Paratha,222,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Ragi Dosa,207,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Pongal,207,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Poori,215,3899,0,0,1994
2022-01-04,Tuesday,Breakfast,Dosa,3541,3899,0,0,1994
2022-01-04,Tuesday,Lunch,Daal Dhokli,2359,3899,0,0,3489
2022-01-04,Tuesday,Lunch,Aloo Shimla Mirch,6290,3899,0,0,3489
2022-01-04,Tuesday,Lunch,Kuzhambu,1024,3899,0,0,3489
2022-01-04,Tuesday,Lunch,Veg Kolhapuri,554,3899,0,0,3489
2022-01-04,Tuesday,Lunch,Poriyal,755,3899,0,0,3489
2022-01-04,Tuesday,Lunch,Kofta,1067,3899,0,0,3489
2022-01-04,Tuesday,Snacks,Thalipeeth,1502,3899,0,0,3071
2022-01-04,Tuesday,Snacks,Kodubale,3083,3899,0,0,3071
2022-01-04,Tuesday,Dinner,Mushroom Do Pyaza,223,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Kadai Paneer,219,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Sambar,1774,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Dal Makhani,237,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Veg Biryani,2447,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Aloo Tuk,433,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Palak Paneer,2273,3899,0,0,2785
2022-01-04,Tuesday,Dinner,Kheer,226,3899,0,0,2785
2022-01-05,Wednesday,Breakfast,Akki Rotti,3782,3890,0,0,2277
2022-01-05,Wednesday,Breakfast,Chole Bhature,323,3890,0,0,2277
2022-01-05,Wednesday,Breakfast,Set Dosa,257,3890,0,0,2277
2022-01-05,Wednesday,Breakfast,Cheera Doi,339,3890,0,0,2277
2022-01-05,Wednesday,Breakfast,Ragi Dosa,253,3890,0,0,2277
2022-01-05,Wednesday,Breakfast,Rava Idli,244,3890,0,0,2277
2022-01-05,Wednesday,Lunch,Kuzhambu,249,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Veg Biryani,3487,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Jeera Rice,263,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Sambar,2272,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Dal Makhani,284,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Kadhi Pakoda,264,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Matar Paneer,248,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Chaulai Saag,299,3890,0,0,3313
2022-01-05,Wednesday,Lunch,Dal Tadka,2865,3890,0,0,3313
2022-01-05,Wednesday,Snacks,Coffee,4315,3890,0,0,2656
2022-01-05,Wednesday,Dinner,Matar Paneer,285,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Ennai Kathirikkai,543,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Avial,1417,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Aloo Phalliyaan,2079,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Dal Makhani,662,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Bhindi Masala,1270,3890,0,0,2479
2022-01-05,Wednesday,Dinner,Masoor Dal,288,3890,0,0,2479
2022-01-06,Thursday,Breakfast,Akki Rotti,3400,3969,0,0,1979
2022-01-06,Thursday,Breakfast,Sabudana Khichadi,225,3969,0,0,1979
2022-01-06,Thursday,Breakfast,Chole Bhature,283,3969,0,0,1979
2022-01-06,Thursday,Breakfast,Poori,224,3969,0,0,1979
2022-01-06,Thursday,Breakfast,Vegetable Sandwich,213,3969,0,0,1979
2022-01-06,Thursday,Breakfast,Medu Vada,227,3969,0,0,1979
2022-01-06,Thursday,Lunch,Theeyal,269,3969,0,0,3798
2022-01-06,Thursday,Lunch,Sambar,3639,3969,0,0,3798
2022-01-06,Thursday,Lunch,Mag Dhokli,300,3969,0,0,3798
2022-01-06,Thursday,Lunch,Koottu,296,3969,0,0,3798
2022-01-06,Thursday,Lunch,Chaulai Saag,415,3969,0,0,3798
2022-01-06,Thursday,Lunch,Baingan Bharta,786,3969,0,0,3798
2022-01-06,Thursday,Lunch,Mishti Chholar Dal,289,3969,0,0,3798
2022-01-06,Thursday,Lunch,Rajma,3876,3969,0,0,3798
2022-01-06,Thursday,Lunch,Dal Makhani,352,3969,0,0,3798
2022-01-06,Thursday,Snacks,Aloo Tikki,3210,3969,0,0,2663
2022-01-06,Thursday,Snacks,Naan Khatai,798,3969,0,0,2663
2022-01-06,Thursday,Dinner,Theeyal,266,3969,0,0,2538
2022-01-06,Thursday,Dinner,Rajma,1934,3969,0,0,2538
2022-01-06,Thursday,Dinner,Dal Tadka,2120,3969,0,0,2538
2022-01-06,Thursday,Dinner,Chapati,303,3969,0,0,2538
2022-01-06,Thursday,Dinner,Palak Paneer,2278,3969,0,0,2538
2022-01-06,Thursday,Dinner,Kheer,275,3969,0,0,2538
2022-01-07,Friday,Breakfast,Oondees,1098,3632,0,0,2459
2022-01-07,Friday,Breakfast,Set Dosa,838,3632,0,0,2459
2022-01-07,Friday,Breakfast,Wheat Upma,623,3632,0,0,2459
2022-01-07,Friday,Breakfast,Chole Bhature,1958,3632,0,0,2459
2022-01-07,Friday,Breakfast,Sabudana Khichadi,820,3632,0,0,2459
2022-01-07,Friday,Breakfast,Rava Idli,802,3632,0,0,2459
2022-01-07,Friday,Lunch,Aloo Shimla Mirch,1877,3632,0,0,3302
2022-01-07,Friday,Lunch,Dalithoy,563,3632,0,0,3302
2022-01-07,Friday,Lunch,Jalfrezi,380,3632,0,0,3302
2022-01-07,Friday,Lunch,Olan,290,3632,0,0,3302
2022-01-07,Friday,Lunch,Green Salad,374,3632,0,0,3302
2022-01-07,Friday,Lunch,Aloo Matar,2978,3632,0,0,3302
2022-01-07,Friday,Lunch,Baingan Bharta,1371,3632,0,0,3302
2022-01-07,Friday,Lunch,Kuzhambu,315,3632,0,0,3302
2022-01-07,Friday,Lunch,Kofta,308,3632,0,0,3302
2022-01-07,Friday,Snacks,Khaman,3586,3632,0,0,2388
2022-01-07,Friday,Dinner,Mix Veg Curry,525,3632,0,0,2400
2022-01-07,Friday,Dinner,Poriyal,379,3632,0,0,2400
2022-01-07,Friday,Dinner,Lobiya,574,3632,0,0,2400
2022-01-07,Friday,Dinner,Matar Paneer,506,3632,0,0,2400
2022-01-07,Friday,Dinner,Karela Bharta,3162,3632,0,0,2400
2022-01-07,Friday,Dinner,Chapati,1508,3632,0,0,2400
2022-01-08,Saturday,Breakfast,Hando Guri,656,3045,0,0,1511
2022-01-08,Saturday,Breakfast,Poori,526,3045,0,0,1511
2022-01-08,Saturday,Breakfast,Paniyaram,529,3045,0,0,1511
2022-01-08,Saturday,Breakfast,Uttapam,383,3045,0,0,1511
2022-01-08,Saturday,Breakfast,Sabudana Khichadi,504,3045,0,0,1511
2022-01-08,Saturday,Breakfast,Rava Idli,454,3045,0,0,1511
2022-01-08,Saturday,Lunch,Karela Bharta,2475,3045,0,0,2446
2022-01-08,Saturday,Lunch,Curd Rice,1022,3045,0,0,2446
2022-01-08,Saturday,Lunch,Mushroom Matar,351,3045,0,0,2446
2022-01-08,Saturday,Lunch,Kheer,524,3045,0,0,2446
2022-01-08,Saturday,Lunch,Veg Kolhapuri,271,3045,0,0,2446
2022-01-08,Saturday,Lunch,Chapati,1167,3045,0,0,2446
2022-01-08,Saturday,Lunch,Matar Paneer,404,3045,0,0,2446
2022-01-08,Saturday,Lunch,Khichdi,1583,3045,0,0,2446
2022-01-08,Saturday,Lunch,Navrattan Korma,347,3045,0,0,2446
2022-01-08,Saturday,Lunch,Mushroom Do Pyaza,413,3045,0,0,2446
2022-01-08,Saturday,Snacks,Mirchi Bada,3025,3045,0,0,2012
2022-01-08,Saturday,Dinner,Rasam,376,3045,0,0,2164
2022-01-08,Saturday,Dinner,Dum Aloo,749,3045,0,0,2164
2022-01-08,Saturday,Dinner,Kuzhambu,556,3045,0,0,2164
2022-01-08,Saturday,Dinner,Gobhi Matar,717,3045,0,0,2164
2022-01-08,Saturday,Dinner,Poriyal,384,3045,0,0,2164
2022-01-08,Saturday,Dinner,Khoya Paneer,664,3045,0,0,2164
2022-01-08,Saturday,Dinner,Jeera Aloo,702,3045,0,0,2164
2022-01-08,Saturday,Dinner,Kofta,626,3045,0,0,2164
2022-01-08,Saturday,Dinner,Kos Kootu,661,3045,0,0,2164
2022-01-09,Sunday,Breakfast,Dosa,2637,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Neer Dosa,202,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Cheera Doi,359,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Masala Dosa,215,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Paniyaram,208,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Wheat Upma,198,4139,0,0,2082
2022-01-09,Sunday,Breakfast,Kumol Sawul,235,4139,0,0,2082
2022-01-09,Sunday,Lunch,Gatte ki Sabzi,728,4139,0,0,3740
2022-01-09,Sunday,Lunch,Masoor Dal,551,4139,0,0,3740
2022-01-09,Sunday,Lunch,Chapati,1557,4139,0,0,3740
2022-01-09,Sunday,Lunch,Aloo Gobi,7946,4139,0,0,3740
2022-01-09,Sunday,Lunch,Jeera Rice,636,4139,0,0,3740
2022-01-09,Sunday,Lunch,Curd Rice,1096,4139,0,0,3740
2022-01-09,Sunday,Snacks,Naan Khatai,3621,4139,0,0,2953
2022-01-09,Sunday,Dinner,Gatte ki Sabzi,283,4139,0,0,2706
2022-01-09,Sunday,Dinner,Methi Saag,251,4139,0,0,2706
2022-01-09,Sunday,Dinner,Veg Biryani,4214,4139,0,0,2706
2022-01-09,Sunday,Dinner,Lauki ke Kofte,621,4139,0,0,2706
2022-01-09,Sunday,Dinner,Kos Kootu,277,4139,0,0,2706
2022-01-09,Sunday,Dinner,Shahi Paneer,253,4139,0,0,2706
2022-01-09,Sunday,Dinner,Chapati,343,4139,0,0,2706
2022-01-10,Monday,Breakfast,Idli,1375,3105,0,0,1681
2022-01-10,Monday,Breakfast,Sabudana Khichadi,159,3105,0,0,1681
2022-01-10,Monday,Breakfast,Uttapam,150,3105,0,0,1681
2022-01-10,Monday,Breakfast,Hando Guri,169,3105,0,0,1681
2022-01-10,Monday,Breakfast,Dibba Rotti,170,3105,0,0,1681
2022-01-10,Monday,Breakfast,Set Dosa,159,3105,0,0,1681
2022-01-10,Monday,Breakfast,Dosa,1259,3105,0,0,1681
2022-01-10,Monday,Lunch,Aloo Shimla Mirch,487,3105,0,0,2910
2022-01-10,Monday,Lunch,Kadai Paneer,185,3105,0,0,2910
2022-01-10,Monday,Lunch,Methi Saag,184,3105,0,0,2910
2022-01-10,Monday,Lunch,Chapati,228,3105,0,0,2910
2022-01-10,Monday,Lunch,Mag Dhokli,185,3105,0,0,2910
2022-01-10,Monday,Lunch,Green Salad,194,3105,0,0,2910
2022-01-10,Monday,Lunch,Pachadi,184,3105,0,0,2910
2022-01-10,Monday,Lunch,Veg Biryani,2099,3105,0,0,2910
2022-01-10,Monday,Lunch,Paneer Butter Masala,2206,3105,0,0,2910
2022-01-10,Monday,Lunch,Dal Tadka,1844,3105,0,0,2910
2022-01-10,Monday,Snacks,Dhokla,4004,3105,0,0,2382
2022-01-10,Monday,Dinner,Kofta,243,3105,0,0,2579
2022-01-10,Monday,Dinner,Methi Saag,245,3105,0,0,2579
2022-01-10,Monday,Dinner,Olan,247,3105,0,0,2579
2022-01-10,Monday,Dinner,Dalithoy,305,3105,0,0,2579
2022-01-10,Monday,Dinner,Mishti Chholar Dal,228,3105,0,0,2579
2022-01-10,Monday,Dinner,Chana Masala,4583,3105,0,0,2579
2022-01-10,Monday,Dinner,Shukto,220,3105,0,0,2579
2022-01-10,Monday,Dinner,Kadai Paneer,262,3105,0,0,2579
2022-01-11,Tuesday,Breakfast,Cheera Doi,290,3742,0,0,2094
2022-01-11,Tuesday,Breakfast,Masala Dosa,237,3742,0,0,2094
2022-01-11,Tuesday,Breakfast,Poori,220,3742,0,0,2094
2022-01-11,Tuesday,Breakfast,Ragi Dosa,223,3742,0,0,2094
2022-01-11,Tuesday,Breakfast,Paniyaram,225,3742,0,0,2094
2022-01-11,Tuesday,Breakfast,Aloo Paratha,3514,3742,0,0,2094
2022-01-11,Tuesday,Lunch,Ennai Kathirikkai,368,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Aloo Matar,1814,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Sambar,2973,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Veg Biryani,4356,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Aloo Gobi,2203,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Pachadi,330,3742,0,0,3579
2022-01-11,Tuesday,Lunch,Jalfrezi,348,3742,0,0,3579
2022-01-11,Tuesday,Snacks,Dabeli,3508,3742,0,0,2493
2022-01-11,Tuesday,Dinner,Mix Veg Curry,612,3742,0,0,2744
2022-01-11,Tuesday,Dinner,Kadhi Pakoda,926,3742,0,0,2744
2022-01-11,Tuesday,Dinner,Undhiyu,409,3742,0,0,2744
2022-01-11,Tuesday,Dinner,Jeera Rice,1047,3742,0,0,2744
2022-01-11,Tuesday,Dinner,Aloo Tuk,3387,3742,0,0,2744
2022-01-11,Tuesday,Dinner,Theeyal,419,3742,0,0,2744
2022-01-12,Wednesday,Breakfast,Hando Guri,213,2803,0,0,1877
2022-01-12,Wednesday,Breakfast,Bora Sawul,262,2803,0,0,1877
2022-01-12,Wednesday,Breakfast,Medu Vada,200,2803,0,0,1877
2022-01-12,Wednesday,Breakfast,Akki Rotti,2111,2803,0,0,1877
2022-01-12,Wednesday,Breakfast,Dosa,1576,2803,0,0,1877
2022-01-12,Wednesday,Breakfast,Rava Idli,199,2803,0,0,1877
2022-01-12,Wednesday,Lunch,Batata Saung,687,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Mag Dhokli,230,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Jalfrezi,257,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Lauki ke Kofte,864,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Rasam,220,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Theeyal,211,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Paneer Butter Masala,5929,2803,0,0,2522
2022-01-12,Wednesday,Lunch,Ennai Kathirikkai,278,2803,0,0,2522
2022-01-12,Wednesday,Snacks,Chakri,2402,2803,0,0,2201
2022-01-12,Wednesday,Snacks,Shakarpara,660,2803,0,0,2201
2022-01-12,Wednesday,Dinner,Aloo Tuk,537,2803,0,0,1738
2022-01-12,Wednesday,Dinner,Paneer Butter Masala,3190,2803,0,0,1738
2022-01-12,Wednesday,Dinner,Mishti Chholar Dal,225,2803,0,0,1738
2022-01-12,Wednesday,Dinner,Batata Saung,353,2803,0,0,1738
2022-01-12,Wednesday,Dinner,Kheer,229,2803,0,0,1738
2022-01-13,Thursday,Breakfast,Hando Guri,737,3846,0,0,2356
2022-01-13,Thursday,Breakfast,Pongal,344,3846,0,0,2356
2022-01-13,Thursday,Breakfast,Appam,2000,3846,0,0,2356
2022-01-13,Thursday,Breakfast,Ragi Dosa,307,3846,0,0,2356
2022-01-13,Thursday,Breakfast,Dibba Rotti,930,3846,0,0,2356
2022-01-13,Thursday,Breakfast,Medu Vada,434,3846,0,0,2356
2022-01-13,Thursday,Lunch,Palak Paneer,6114,3846,0,0,3101
2022-01-13,Thursday,Lunch,Dum Aloo,405,3846,0,0,3101
2022-01-13,Thursday,Lunch,Fruit Custard,417,3846,0,0,3101
2022-01-13,Thursday,Lunch,Mushroom Do Pyaza,361,3846,0,0,3101
2022-01-13,Thursday,Lunch,Shukto,338,3846,0,0,3101
2022-01-13,Thursday,Lunch,Undhiyu,343,3846,0,0,3101
2022-01-13,Thursday,Snacks,Kachori,1977,3846,0,0,2863
2022-01-13,Thursday,Snacks,Farsi Puri,2654,3846,0,0,2863
2022-01-13,Thursday,Dinner,Khichdi,1536,3846,0,0,2628
2022-01-13,Thursday,Dinner,Olan,477,3846,0,0,2628
2022-01-13,Thursday,Dinner,Shukto,344,3846,0,0,2628
2022-01-13,Thursday,Dinner,Kadhi Pakoda,723,3846,0,0,2628
2022-01-13,Thursday,Dinner,Pachadi,425,3846,0,0,2628
2022-01-13,Thursday,Dinner,Mag Dhokli,597,3846,0,0,2628
2022-01-13,Thursday,Dinner,Keerai Koottu,737,3846,0,0,2628
2022-01-13,Thursday,Dinner,Gatte ki Sabzi,847,3846,0,0,2628
2022-01-13,Thursday,Dinner,Navrattan Korma,450,3846,0,0,2628
2022-01-14,Friday,Breakfast,Medu Vada,179,3048,0,0,1996
2022-01-14,Friday,Breakfast,Akki Rotti,2912,3048,0,0,1996
2022-01-14,Friday,Breakfast,Appam,773,3048,0,0,1996
2022-01-14,Friday,Breakfast,Set Dosa,165,3048,0,0,1996
2022-01-14,Friday,Breakfast,Cheera Doi,254,3048,0,0,1996
2022-01-14,Friday,Breakfast,Vegetable Sandwich,161,3048,0,0,1996
2022-01-14,Friday,Breakfast,Pongal,171,3048,0,0,1996
2022-01-14,Friday,Breakfast,Rava Idli,181,3048,0,0,1996
2022-01-14,Friday,Lunch,Lauki ke Kofte,1614,3048,0,0,2929
2022-01-14,Friday,Lunch,Chapati,1146,3048,0,0,2929
2022-01-14,Friday,Lunch,Kadai Paneer,562,3048,0,0,2929
2022-01-14,Friday,Lunch,Bhindi Masala,1419,3048,0,0,2929
2022-01-14,Friday,Lunch,Khoya Paneer,489,3048,0,0,2929
2022-01-14,Friday,Lunch,Matar Paneer,431,3048,0,0,2929
2022-01-14,Friday,Lunch,Kos Kootu,484,3048,0,0,2929
2022-01-14,Friday,Lunch,Gobhi Matar,743,3048,0,0,2929
2022-01-14,Friday,Lunch,Dal Makhani,1009,3048,0,0,2929
2022-01-14,Friday,Lunch,Masoor Dal,409,3048,0,0,2929
2022-01-14,Friday,Snacks,Pav Bhaji,1529,3048,0,0,2118
2022-01-14,Friday,Snacks,Pani Puri,1499,3048,0,0,2118
2022-01-14,Friday,Dinner,Jeera Aloo,197,3048,0,0,2162
2022-01-14,Friday,Dinner,Pav Bhaji,182,3048,0,0,2162
2022-01-14,Friday,Dinner,Ennai Kathirikkai,208,3048,0,0,2162
2022-01-14,Friday,Dinner,Kofta,196,3048,0,0,2162
2022-01-14,Friday,Dinner,Navrattan Korma,181,3048,0,0,2162
2022-01-14,Friday,Dinner,Paneer Butter Masala,3758,3048,0,0,2162
2022-01-14,Friday,Dinner,Aloo Matar,1325,3048,0,0,2162
2022-01-14,Friday,Dinner,Olan,186,3048,0,0,2162
2022-01-15,Saturday,Breakfast,Sabudana Khichadi,356,3996,0,0,1922
2022-01-15,Saturday,Breakfast,Kumol Sawul,570,3996,0,0,1922
2022-01-15,Saturday,Breakfast,Ragi Dosa,380,3996,0,0,1922
2022-01-15,Saturday,Breakfast,Appam,2495,3996,0,0,1922
2022-01-15,Saturday,Breakfast,Vegetable Sandwich,315,3996,0,0,1922
2022-01-15,Saturday,Lunch,Undhiyu,684,3996,0,0,3466
2022-01-15,Saturday,Lunch,Kaara Kozhambu,1218,3996,0,0,3466
2022-01-15,Saturday,Lunch,Mag Dhokli,1124,3996,0,0,3466
2022-01-15,Saturday,Lunch,Koottu,1139,3996,0,0,3466
2022-01-15,Saturday,Lunch,Poriyal,911,3996,0,0,3466
2022-01-15,Saturday,Lunch,Jeera Aloo,1200,3996,0,0,3466
2022-01-15,Saturday,Lunch,Navrattan Korma,932,3996,0,0,3466
2022-01-15,Saturday,Lunch,Curd Rice,1508,3996,0,0,3466
2022-01-15,Saturday,Lunch,Rasam,760,3996,0,0,3466
2022-01-15,Saturday,Lunch,Mushroom Do Pyaza,1040,3996,0,0,3466
2022-01-15,Saturday,Snacks,Sev Khamani,1832,3996,0,0,2952
2022-01-15,Saturday,Snacks,Sandwich,1859,3996,0,0,2952
2022-01-15,Saturday,Dinner,Lobiya,338,3996,0,0,3378
2022-01-15,Saturday,Dinner,Rajma,6157,3996,0,0,3378
2022-01-15,Saturday,Dinner,Gatte ki Sabzi,367,3996,0,0,3378
2022-01-15,Saturday,Dinner,Dalithoy,422,3996,0,0,3378
2022-01-15,Saturday,Dinner,Methi Saag,316,3996,0,0,3378
2022-01-15,Saturday,Dinner,Olan,301,3996,0,0,3378
2022-01-15,Saturday,Dinner,Navrattan Korma,304,3996,0,0,3378
2022-01-15,Saturday,Dinner,Green Salad,362,3996,0,0,3378
2022-01-16,Sunday,Breakfast,Dosa,623,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Paratha,123,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Aloo Paratha,988,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Dibba Rotti,139,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Bora Sawul,154,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Idli,698,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Ragi Dosa,128,3369,0,0,1630
2022-01-16,Sunday,Breakfast,Rava Dosa,126,3369,0,0,1630
2022-01-16,Sunday,Lunch,Chana Masala,3382,3369,0,0,2777
2022-01-16,Sunday,Lunch,Aloo Shimla Mirch,1162,3369,0,0,2777
2022-01-16,Sunday,Lunch,Kadai Paneer,247,3369,0,0,2777
2022-01-16,Sunday,Lunch,Rasam,231,3369,0,0,2777
2022-01-16,Sunday,Lunch,Baingan Bharta,596,3369,0,0,2777
2022-01-16,Sunday,Lunch,Ennai Kathirikkai,289,3369,0,0,2777
2022-01-16,Sunday,Lunch,Sambar,2844,3369,0,0,2777
2022-01-16,Sunday,Lunch,Aloo Tuk,823,3369,0,0,2777
2022-01-16,Sunday,Snacks,Sandige,3016,3369,0,0,2319
2022-01-16,Sunday,Dinner,Kadhi Pakoda,228,3369,0,0,2743
2022-01-16,Sunday,Dinner,Methi Saag,225,3369,0,0,2743
2022-01-16,Sunday,Dinner,Chapati,279,3369,0,0,2743
2022-01-16,Sunday,Dinner,Aloo Shimla Mirch,773,3369,0,0,2743
2022-01-16,Sunday,Dinner,Rajma,2250,3369,0,0,2743
2022-01-16,Sunday,Dinner,Karela Bharta,661,3369,0,0,2743
2022-01-16,Sunday,Dinner,Dal Tadka,2558,3369,0,0,2743
